date,athlete,event,implement_kg,distance_m,session_type,location,attempt,conditions,notes,created_at,row_id
2025-01-11,Mohamed Tolo,Shot Put,Competition,18.17,Competition,Meeting Prof. Mário Moniz Pereira - Lisboa (Portugal),1,Indoor,1st place - Indoor competition,2025-01-11T12:00:00,0
2025-02-19,Mohamed Tolo,Shot Put,Competition,20.28,Competition,Hvězdy v Nehvizdech - Nehvizdy (Czech Republic),1,Indoor,7th place - Indoor competition - Season best at the time,2025-01-11T12:00:00,1
2025-03-01,Mohamed Tolo,Shot Put,Competition,20.06,Competition,International Tournament for Olga Rypakova - Ust-Kamenogorsk (Kazakhstan),1,Indoor,1st place - Indoor competition,2025-01-11T12:00:00,2
2025-04-12,Mohamed Tolo,Shot Put,Competition,19.52,Competition,FNB Botswana Golden Grand Prix - Gaborone,1,Outdoor - Calm,5th place,2025-01-11T12:00:00,3
2025-04-30,Mohamed Tolo,Shot Put,Competition,19.70,Competition,Arab Championships - Oran (Algeria),1,Outdoor - Calm,1st place - Arab Champion,2025-01-11T12:00:00,4
2025-05-17,Mohamed Tolo,Shot Put,Competition,18.65,Competition,Saudi Arabian Championships - Taif,1,Outdoor - Calm,1st place - National Champion,2025-01-11T12:00:00,5
2025-05-29,Mohamed Tolo,Shot Put,Competition,19.92,Competition,26th Asian Athletics Championships - Gumi (South Korea),1,Outdoor - Calm,3rd place - Bronze Medal,2025-01-11T12:00:00,6
2025-08-17,Mohamed Tolo,Shot Put,Competition,19.40,Competition,Golden Sand - Miedzyzdroje (Poland),1,Outdoor - Calm,3rd place,2025-01-11T12:00:00,7
2025-09-13,Mohamed Tolo,Shot Put,Competition,18.08,Competition,World Athletics Championships - Tokyo,1,Outdoor - Calm,14th place - World Championships,2025-01-11T12:00:00,8
